,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
203,NBA.WS,New Beginnings Acquisition Corp.,,,,,,https://old.nasdaq.com/symbol/nba.ws,
204,GBR,"New Concept Energy, Inc",2.47,$12.68M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gbr,
205,NEN,New England Realty Associates Limited Partnership,50.5,$184.46M,,Consumer Services,Building operators,https://old.nasdaq.com/symbol/nen,
206,NGD,New Gold Inc.,1.9,$1.29B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ngd,
207,NXE,Nexgen Energy Ltd.,2.8,$1.06B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/nxe,
208,NAK,"Northern Dynasty Minerals, Ltd.",0.5275,$268.52M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/nak,
209,NOG,"Northern Oil and Gas, Inc.",10.35,$474.56M,,,,https://old.nasdaq.com/symbol/nog,
210,NBY,"NovaBay Pharmaceuticals, Inc.",1.01,$42.2M,2007.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nby,
211,NG,Novagold Resources Inc.,9.1,$3B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ng,
212,NTN,"NTN Buzztime, Inc.",3.1,$9.19M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ntn,
213,NES,"Nuverra Environmental Solutions, Inc.",2.75,$43.37M,2017.0,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/nes,
214,OBLG,Oblong Inc.,4.72,$36.54M,,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/oblg,
215,OCX,OncoCyte Corporation,4.76,$320.11M,2015.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/ocx,
216,OGEN,Oragenics Inc.,1.09,$100.03M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ogen,
217,ORLA,Orla Mining Ltd.,4.52,$1.03B,2020.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/orla,
218,PCG^A,Pacific Gas & Electric Co.,30.2081,,,,,https://old.nasdaq.com/symbol/pcg^a,
219,PCG^B,Pacific Gas & Electric Co.,27.35,,,,,https://old.nasdaq.com/symbol/pcg^b,
220,PCG^C,Pacific Gas & Electric Co.,25.386,,,,,https://old.nasdaq.com/symbol/pcg^c,
221,PCG^D,Pacific Gas & Electric Co.,25.1709,,,,,https://old.nasdaq.com/symbol/pcg^d,
222,PCG^E,Pacific Gas & Electric Co.,25.365,,,,,https://old.nasdaq.com/symbol/pcg^e,
223,PCG^G,Pacific Gas & Electric Co.,24.26,,,,,https://old.nasdaq.com/symbol/pcg^g,
224,PCG^H,Pacific Gas & Electric Co.,23.88,,,,,https://old.nasdaq.com/symbol/pcg^h,
225,PCG^I,Pacific Gas & Electric Co.,23.74,,,,,https://old.nasdaq.com/symbol/pcg^i,
226,PTN,"Palatin Technologies, Inc.",1.07,$245.99M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ptn,
227,PZG,Paramount Gold Nevada Corp.,1.14,$39.09M,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/pzg,
228,PRK,Park National Corporation,113.72,$1.86B,,Finance,Major Banks,https://old.nasdaq.com/symbol/prk,
229,ID,"PARTS iD, Inc.",7.17,$235.7M,2017.0,Technology,Advertising,https://old.nasdaq.com/symbol/id,
230,PED,Pedevco Corp.,1.54,$111.59M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ped,
231,HNW,Pioneer Diversified High Income Trust,14.49,$120.74M,2007.0,,,https://old.nasdaq.com/symbol/hnw,
232,PLAG,Planet Green Holdings Corp,2.6473,$35.02M,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/plag,
233,PLG,Platinum Group Metals Ltd.,4.19,$302.56M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/plg,
234,PLYM^A,"Plymouth Industrial REIT, Inc.",27.0,,,,,https://old.nasdaq.com/symbol/plym^a,
235,PLM,Polymet Mining Corp.,3.97,$399.78M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/plm,
236,PW,Power REIT,31.58,$60.51M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pw,
237,PW^A,Power REIT,25.95,,,,,https://old.nasdaq.com/symbol/pw^a,
238,PLX,"Protalix BioTherapeutics, Inc.",4.58,$152.68M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/plx,
239,PTK,PTK Acquisition Corp.,10.395,$149.43M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/ptk,
240,PTK.U,PTK Acquisition Corp.,,,2020.0,,,https://old.nasdaq.com/symbol/ptk.u,
241,PTK.WS,PTK Acquisition Corp.,,,,,,https://old.nasdaq.com/symbol/ptk.ws,
242,RMED,"Ra Medical Systems, Inc.",7.71,$22.51M,2018.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/rmed,
243,RLGT,"Radiant Logistics, Inc.",6.46,$320.93M,,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/rlgt,
244,UTG,Reaves Utility Income Fund,32.9,$1.77B,2004.0,,,https://old.nasdaq.com/symbol/utg,
245,RHE,"Regional Health Properties, Inc.",3.59,$6.06M,2017.0,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/rhe,
246,RHE^A,"Regional Health Properties, Inc.",2.63,,,,,https://old.nasdaq.com/symbol/rhe^a,
247,RCG,"RENN Fund, Inc.",2.0874,$12.42M,,,,https://old.nasdaq.com/symbol/rcg,
